Artist,Title,Price,Low Estimate,High Estimate,Signature,Dummy Signature,Height,Width,Depth,Edition,Year Created,Medium,Medium_new,Medium_Method_Category,Auction Lot,Auction Date,Auction Year,Auction House
Riyas Komu,Systematic Citizen - IIIONLINE only auction,-not sold-,6000,8000,Signed and Dated,1,214,152.4,,,2006,Oil / Canvas,Painting,Oil,124,1/30/2016,2016,Saffron Art
Dhananjay Singh,UntitledONLINE only auction,19800,18190,27280,Inscribed,1,213.2,77,65,,2015,Bronze and stainless steel,Sculpture,Metal,125,1/30/2016,2016,Saffron Art
Baiju Parthan,Spirit Garden-1 (Ethno-Botanical-Memory)ONLINE only auction,-not sold-,7580,10610,Signed and Dated,1,118.8,118.8,,,2003,Acrylic / Canvas,Painting,Acrylic,126,1/30/2016,2016,Saffron Art
Rina Banerjee,UntitledONLINE only auction,4800,4000,6000,Unavailable,0,76,55.5,,,N/A,Watercolor and ink and acrylic / Paper,Works on Paper,Watercolor,127,1/30/2016,2016,Saffron Art
Mohammad Zeeshan,UntitledONLINE only auction,3816,3790,5310,Signed and Dated,1,27.4,32.6,,,2006,Watercolor and pencil / Paper,Works on Paper,Watercolor,128,1/30/2016,2016,Saffron Art
Mithu Sen,UntitledONLINE only auction,1320,4000,6000,Unavailable,0,66.5,98.7,,,N/A,Mixed Media with ink and wine / Paper,Mixed Media,Mixed Media,129,1/30/2016,2016,Saffron Art
Mithu Sen,Untitled (4)ONLINE only auction,2220,8000,10000,Signed and Dated,1,,,,,2006,Mixed Media / Paper,Mixed Media,Mixed Media,130,1/30/2016,2016,Saffron Art
TV Santhosh,UntitledONLINE only auction,28200,30000,40000,Inscribed and Signed,1,127.7,189,,,2008,Oil / Canvas,Painting,Oil,131,1/30/2016,2016,Saffron Art
Tazeen Qayyum,Test on a Small Area Before Use IVONLINE only auction,-not sold-,4550,6070,Unavailable,0,34.3,44.7,,,2007,"Watercolor , entomology pins and labels on wasli",Works on Paper,Watercolor,132,1/30/2016,2016,Saffron Art
Jagannath Panda,RestONLINE only auction,-not sold-,7000,9000,Signed and Dated,1,41.9,68.6,43.2,,2006,Cloth on fiberglass,Sculpture,Cloth,133,1/30/2016,2016,Saffron Art
Jagannath Panda,UntitledONLINE only auction,8400,25000,35000,Signed and Dated,1,182,151.5,,,2004,Acrylic / Canvas,Painting,Acrylic,134,1/30/2016,2016,Saffron Art
Justin Ponmany,Trojan (diptych)ONLINE only auction,-not sold-,10000,15000,Inscribed and Signed,1,101.5,265,,,2004,Acrylic and hologram / Canvas,Painting,Acrylic,135,1/30/2016,2016,Saffron Art
G R Iranna,Untitled (diptych)ONLINE only auction,18000,22730,30310,Signed and Dated,1,153,335.5,,,2005,Acrylic / Canvas,Painting,Acrylic,136,1/30/2016,2016,Saffron Art
Anant Joshi,UntitledONLINE only auction,1488,6070,9100,Unavailable,0,115.6,165.5,,,N/A,Acrylic / Canvas,Painting,Acrylic,137,1/30/2016,2016,Saffron Art
Kattingeri Krishna Hebbar,Untitled,480,1065,1365,Signed and Dated,1,13.5,11.8,,,79,Ink / Paper,Works on Paper,Ink,1,1/08/2016,2016,Saffron Art
Maqbool Fida Husain,Untitled,3925,6070,9100,Signed,1,38.9,47.5,,,1990,"Watercolor , sketch pen, and collage / Paper",Works on Paper,Watercolor,2,1/08/2016,2016,Saffron Art
J Sultan Ali,Untitled,1204,1215,1520,Signed,1,18,21.8,,,N/A,Ink / Paper,Works on Paper,Ink,3,1/08/2016,2016,Saffron Art
Syed Haider Raza,Untitled,9600,6070,7580,Signed and Dated,1,40,27.5,,,2015,Acrylic / Paper,Works on Paper,Acrylic,4,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,1235,1520,2275,Signed and Dated,1,20.8,14.8,,,64,Ink / Paper,Works on Paper,Ink,5,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,844,1520,2275,Signed and Dated,1,23.3,16.9,,,1962,Pen and ink / Paper,Works on Paper,Ink,6,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,1791,2275,3035,Signed and Dated,1,33,24.5,,,1965,Ink / Paper,Works on Paper,Ink,7,1/08/2016,2016,Saffron Art
Arup Das,Untitled,1140,1520,2275,Signed and Dated,1,54.5,36.3,,,2003,Watercolor / Paper,Works on Paper,Watercolor,8,1/08/2016,2016,Saffron Art
Ram Kumar,Untitled,7830,9100,12130,Signed and Dated,1,45.5,58.5,,,2004,Acrylic / Paper,Works on Paper,Acrylic,9,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,1386,3035,4550,Signed,1,56,42.3,,,0.197,Pencil / Paper,Works on Paper,Pencil,10,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,1302,3035,4550,Signed,1,18.3,18.3,2.5,Wed Jan 09 00:00:00 EST 2019,N/A,Bronze on wood,Sculpture,Metal,11,1/08/2016,2016,Saffron Art
Akbar Padamsee,Untitled,4869,4500,7580,Signed and Dated,1,35.6,50.6,,,2002,Charcoal and ink / Paper,Works on Paper,Charcoal,12,1/08/2016,2016,Saffron Art
K G Subramanyan,Untitled,1269,3035,4550,Signed Initials,1,22.2,32.8,,,1993,Watercolor and charcoal / Paper,Works on Paper,Watercolor,13,1/08/2016,2016,Saffron Art
Badri Narayan,Untitled,1566,1520,2275,Signed Initials,1,19,19,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,14,1/08/2016,2016,Saffron Art
Sunil Das,Untitled,546,1520,2275,Signed and Dated,1,48.1,36.5,,,2002,Mixed Media / Paper,Mixed Media,Mixed Media,15,1/08/2016,2016,Saffron Art
Manu Parekh,Green Landscape,3035,3035,4550,Signed and Dated,1,49,49,,,2006,Acrylic / Canvas,Painting,Acrylic,16,1/08/2016,2016,Saffron Art
Thotha Vaikuntam,Untitled,1386,910,1215,Signed and Dated,1,28,21.8,,,1992,Pastel and ink / Paper,Works on Paper,Pastel,17,1/08/2016,2016,Saffron Art
S G Vasudev,Theatre of Life,436,455,610,Signed and Dated,1,29.7,29.7,,,1997,Oil / Canvas,Painting,Oil,18,1/08/2016,2016,Saffron Art
Amit Ambalal,Untitled,540,910,1215,Signed and Dated,1,24.8,29.9,,,2002,Watercolor / Paper,Works on Paper,Watercolor,19,1/08/2016,2016,Saffron Art
Anjana Mehra,Untitled,366,1520,2275,Signed and Dated,1,1005,151,,,2005,Mixed Media / Canvas,Mixed Media,Mixed Media,20,1/08/2016,2016,Saffron Art
Valsan Kolleri,Untitled (Prerana),416,1140,1440,Signed and Dated,1,72.8,53.6,,,2000,Pastel / Paper,Works on Paper,Pastel,21,1/08/2016,2016,Saffron Art
S Harsha Vardhana,Untitled,420,610,910,Signed and Dated,1,30.4,22.8,,,2004,Mixed Media / Paper,Mixed Media,Mixed Media,22,1/08/2016,2016,Saffron Art
Babu Xavier,CHRIST SERIES,846,1520,2275,Signed and Dated,1,122.5,92.4,,,2016,Acrylic / Canvas,Painting,Acrylic,23,1/08/2016,2016,Saffron Art
Manisha Parekh,Cluster,846,1820,3335,Signed and Dated,1,50.9,50.9,5.2,,2004,Paper,Works on Paper,Paper,24,1/08/2016,2016,Saffron Art
Kiran Telkar,Petal,3006,1520,3035,Signed,1,91.7,60.9,,,N/A,Acrylic / Canvas,Painting,Acrylic,25,1/08/2016,2016,Saffron Art
Samit Das,Untitled,120,455,610,Signed and Dated,1,55.5,90.5,,,2006,Acrylic / Canvasboard,Painting,Acrylic,26,1/08/2016,2016,Saffron Art
Syed Haider Raza,Untitled,6070,6070,7580,Signed and Dated,1,40,27.5,,,2015,Acrylic / Paper,Works on Paper,Acrylic,27,1/08/2016,2016,Saffron Art
Arup Das,Untitled,990,2730,3335,Signed and Dated,1,98.8,73.4,,,2002,Mixed Media / Paper,Mixed Media,Mixed Media,28,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,8460,6070,9100,Signed and Dated,1,35.6,53.4,,,1996,Acrylic / Paper,Works on Paper,Acrylic,29,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,1386,1520,2275,Unavailable,0,24,18.8,,,1966,Ink / Paper,Works on Paper,Ink,30,1/08/2016,2016,Saffron Art
Ram Kumar,Untitled (2),1818,6070,9070,Signed,1,,,,,N/A,Colored Pencil and sketchpen / Paper,Works on Paper,Pencil,31,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,3322,3035,4550,Signed,1,74.4,54.5,,,N/A,Pastel / Paper,Works on Paper,Pastel,32,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,3120,3790,5310,Signed,1,50.3,39.8,,,N/A,Oil / Canvas,Painting,Oil,33,1/08/2016,2016,Saffron Art
Rabin Mondal,Untitled,588,1895,2655,Signed and Dated,1,19.2,26.2,,,2013,Acrylic / Paper,Works on Paper,Acrylic,34,1/08/2016,2016,Saffron Art
Bhupen Khakar,Imphal,1209,1520,2275,Signed and Dated,1,21.1,25.3,,,1991,Pencil / Paper,Works on Paper,Pencil,35,1/08/2016,2016,Saffron Art
Ganesh Haloi,Untitled,1818,1520,2275,Signed and Dated,1,27.3,37.5,,,2003,Watercolor / Paper,Works on Paper,Watercolor,36,1/08/2016,2016,Saffron Art
Prabhakar Barwe,Untitled,1082,2275,3035,Signed Initials,1,26.9,36.9,,,1990,Pen and ink / Paper,Works on Paper,Ink,37,1/08/2016,2016,Saffron Art
Lalu Prasad Shaw,Untitled,5140,7580,10610,Signed and Dated,1,53.6,36.3,,,2015,Gouache / Paper,Works on Paper,Gouache,38,1/08/2016,2016,Saffron Art
Manu Parekh,Evening at Banaras,40260,37880,53040,Signed and Dated,1,122,365.8,,,2007,Acrylic and charcoal / Board,Painting,Acrylic,39,1/08/2016,2016,Saffron Art
Jogen Chowdhury,Untitled (Nandan Mela),2453,6070,9100,Signed and Dated,1,27.6,37.6,,,2000,Pastel and ink / Paper,Works on Paper,Pastel,40,1/08/2016,2016,Saffron Art
K Laxma Goud,Untitled,1585,4550,6070,Signed,1,22.7,29.7,,,N/A,Acrylic / Paper,Works on Paper,Acrylic,41,1/08/2016,2016,Saffron Art
Chameli Ramachandran,Untitled,1400,910,1215,Signed and Dated,1,26.8,36.2,,,2006,Watercolor / Paper,Works on Paper,Watercolor,42,1/08/2016,2016,Saffron Art
Sudhir Patwardhan,Untitled,1205,2730,3335,Signed and Dated,1,32.9,26.1,,,2015,Pastel / Paper,Works on Paper,Pastel,43,1/08/2016,2016,Saffron Art
Jayashri Chakravarty,Introspection,5140,4550,6070,Signed and Dated,1,60.5,75.8,,,2016,Oil / Canvas,Painting,Oil,45,1/08/2016,2016,Saffron Art
A Rajeshwara Rao,Untitled,258,610,910,Signed and Dated,1,36.5,33.1,,,1997,Pastel / Paper,Works on Paper,Pastel,46,1/08/2016,2016,Saffron Art
Rajnish Kaur,Untitled,1391,2275,3035,Unavailable,0,70,99.6,,,N/A,Oil / Paper,Works on Paper,Oil,47,1/08/2016,2016,Saffron Art
N S Harsha,Cosmic Orphans,540,455,610,Signed and Dated,1,43.9,29.2,,,2006,Watercolor / Paper,Works on Paper,Watercolor,48,1/08/2016,2016,Saffron Art
G R Iranna,Departure and Robe (2),4225,4550,6070,Unavailable,0,,,,,N/A,Bronze,Sculpture,Metal,49,1/08/2016,2016,Saffron Art
Jagannath Panda,Untitled,15110,30310,45460,Signed and Dated,1,137.7,305,,,2011,"Acrylic , fabric, and glue / Canvas",Painting,Acrylic,50,1/08/2016,2016,Saffron Art
Dilip Chobisa,Untitled (2),1149,2275,3035,Unavailable,0,,,,,N/A,Mixed Media / Board,Mixed Media,Mixed Media,51,1/08/2016,2016,Saffron Art
Syed Haider Raza,Untitled (2),1932,6070,9100,Signed,1,,,,,N/A,Marker and pencil / Paper,Works on Paper,Marker,52,1/08/2016,2016,Saffron Art
Ram Kumar,Untitled,768,1895,2655,Signed,1,13.5,20.8,,,N/A,Marker and pencil / Paper,Works on Paper,Marker,53,1/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,2107,2275,3035,Signed and Dated,1,33,20.2,,,1963,Ink / Paper,Works on Paper,Ink,54,1/08/2016,2016,Saffron Art
Ram Kumar,Untitled (2),1572,6070,9100,Signed and Dated,1,,,,,1991,Pastel and ink / Paper,Works on Paper,Pastel,55,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,1386,1520,2275,Signed and Dated,1,33.9,26.1,,,2003,Pencil / Paper,Works on Paper,Pencil,56,1/08/2016,2016,Saffron Art
Rabin Mondal,Untitled,756,1895,2665,Signed and Dated,1,25.7,26.7,,,2012,Acrylic / Paper on board,Works on Paper,Acrylic,57,1/08/2016,2016,Saffron Art
Himmat Shah,Untitled,3658,6070,9100,Signed and Dated,1,25,8.5,13.5,,2006,Bronze,Sculpture,Metal,58,1/08/2016,2016,Saffron Art
Jyoti M Bhatt,Kashmir,1932,6070,9100,Signed and Dated,1,55.2,74.5,,,1957,Watercolor / Paper,Works on Paper,Watercolor,59,1/08/2016,2016,Saffron Art
Lalu Prasad Shaw,Untitled,4207,2275,3035,Signed and Dated,1,54.8,37.5,,,2011,Gouache / Paper,Works on Paper,Gouache,60,1/08/2016,2016,Saffron Art
Manu Parekh,Untitled,1236,2275,3035,Signed and Dated,1,54.4,68.6,,,1991,Pastel / Paper,Works on Paper,Pastel,61,1/08/2016,2016,Saffron Art
Chameli Ramachandran,Untitled,384,910,1215,Signed and Dated,1,26.8,34.6,,,2007,Watercolor / Paper,Works on Paper,Watercolor,62,1/08/2016,2016,Saffron Art
S G Vasudev,Theatre of Life,420,455,610,Signed and Dated,1,29.7,30,,,1997,Oil / Canvas,Painting,Oil,63,1/08/2016,2016,Saffron Art
Sunil Das,Untitled,2466,3035,4550,Inscribed,1,53.5,66.2,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,64,1/08/2016,2016,Saffron Art
Amit Ambalal,Untitled,364,910,1215,Signed and Dated,1,23.4,31.3,,,5,Pastel / Paper,Works on Paper,Pastel,65,1/08/2016,2016,Saffron Art
Anjana Mehra,Untitled,426,1520,2275,Signed and Dated,1,99.5,142.6,,,2004,Oil / Canvas,Painting,Oil,66,1/08/2016,2016,Saffron Art
N N Rimzon,Untitled,558,380,535,Signed and Dated,1,23.2,30.3,,,2002,Pastel and charcoal / Paper,Works on Paper,Pastel,67,1/08/2016,2016,Saffron Art
Valsan Kolleri,Untitled,438,610,910,Unavailable,0,35.8,48,,,N/A,Paper / Paper on board,Works on Paper,Paper,68,1/08/2016,2016,Saffron Art
Sanjay Bhattacharya,Untitled,756,535,685,Signed and Dated,1,37,26.8,,,2015,Watercolor and marker / Paper,Works on Paper,Watercolor,69,1/08/2016,2016,Saffron Art
Ompal Sansanwal,Untitled,1086,3035,4550,Signed and Dated,1,60.7,76,,,2016,"Acrylic , pen and ink / Canvas",Painting,Acrylic,70,1/08/2016,2016,Saffron Art
Owais Husain,Untitled,318,1365,1820,Unavailable,0,50.8,40.8,,,N/A,Oil / Canvas,Painting,Oil,71,1/08/2016,2016,Saffron Art
Sanjeev Sonpimpare,Untitled,306,760,1215,Signed and Dated,1,53.6,73.1,,,2006,Watercolor and ink / Paper,Works on Paper,Watercolor,72,1/08/2016,2016,Saffron Art
Sumedh Rajendran,Untitled,480,2275,3035,Unavailable,0,113.2,50.1,9.6,,N/A,Iron,Sculpture,Metal,73,1/08/2016,2016,Saffron Art
Manish Pushkale,Anantanathji,1387,3035,4550,Signed and Dated,1,180,89,,,2005,Oil / Canvas,Painting,Oil,74,1/08/2016,2016,Saffron Art
Rajesh Pullarwar,Untitled,546,3035,4550,Unavailable,0,90.3,90.3,,,N/A,Mixed Media / Paper,Mixed Media,Mixed Media,75,1/08/2016,2016,Saffron Art
Farhad Hussain,Untitled,1922,3035,4550,Signed and Dated,1,122,119.4,,,2011,Acrylic / Canvas,Painting,Acrylic,76,1/08/2016,2016,Saffron Art
Susanta Mandal,Untitled,420,455,610,Signed and Dated,1,67.8,97.6,,,2006,Watercolor and led lights / Paper on board,Works on Paper,Watercolor,77,1/08/2016,2016,Saffron Art
Krishen Khanna,Untitled,1413,1520,2275,Signed and Dated,1,33.8,26.4,,,2003,Pencil / Paper,Works on Paper,Pencil,78,1/08/2016,2016,Saffron Art
Sakti Burman,Untitled,2400,1065,1365,Signed and Dated,1,32.6,24.9,,,2014,"Watercolor , pen and ink / Board",Painting,Watercolor,79,1/08/2016,2016,Saffron Art
Bhupen Khakar,UNTITLED (TWO MEN AND A HANDCART ),1386,1520,2275,Signed and Dated,1,20.5,25.6,,,1993,Ink / Paper,Works on Paper,Ink,80,1/08/2016,2016,Saffron Art
Lalu Prasad Shaw,Untitled,844,1365,1820,Signed and Dated,1,26,39.4,,,2016,Pastel and marker / Board,Painting,Pastel,81,1/08/2016,2016,Saffron Art
Manu Parekh,Untitled,1387,3035,4550,Signed and Dated,1,58.5,90.5,,,1993,Mixed Media / Paper,Mixed Media,Mixed Media,82,1/08/2016,2016,Saffron Art
K Laxma Goud,Untitled,1382,1895,2655,Signed and Dated,1,26,22.5,19.9,,2016,Acrylic on wood,Painting,Acrylic,83,1/08/2016,2016,Saffron Art
Shuvaprasanna,Middle Tune,1204,2275,3035,Signed and Dated,1,113.5,101,,,1995,Oil / Canvas,Painting,Oil,84,1/08/2016,2016,Saffron Art
Valsan Kolleri,Untitled,438,610,910,Inscribed,1,35.7,48,,,N/A,Henna / Paper,Works on Paper,Henna,85,1/08/2016,2016,Saffron Art
Sanjay Bhattacharya,Untitled,726,535,685,Signed and Dated,1,37.3,27.2,,,2015,Watercolor and marker / Paper,Works on Paper,Watercolor,86,1/08/2016,2016,Saffron Art
S Harsha Vardhana,Untitled,258,610,910,Signed,1,41.8,29.4,,,N/A,Mixed Media / Paper,Mixed Media,Mixed Media,87,1/08/2016,2016,Saffron Art
A Rajeshwara Rao,Untitled,360,610,910,Unavailable,0,57.9,37.6,,,N/A,Pastel / Paper,Works on Paper,Pastel,88,1/08/2016,2016,Saffron Art
Babu Xavier,No 865 - Ele Series,2161,1520,2275,Signed and Dated,1,92.4,122,,,2015,Acrylic / Canvas,Painting,Acrylic,89,1/08/2016,2016,Saffron Art
Manisha Parekh,Ferment,882,1820,3335,Signed and Dated,1,50.8,50.8,5.2,,2003,Paper,Works on Paper,Paper,90,1/08/2016,2016,Saffron Art
Deepak Tandon,Untitled,259,455,610,Signed and Dated,1,56.3,74.1,,,2006,Acrylic,Painting,Acrylic,91,1/08/2016,2016,Saffron Art
Arunkumar H G,Nandi in Green,3764,4550,6070,Signed and Dated,1,42.7,28.9,77.3,Fourth from a limited edition of six4/6,2008,Velvet,Sculpture,Velvet,92,1/08/2016,2016,Saffron Art
TV Santhosh,Untitled,2112,6070,7580,Signed and Dated,1,56.6,76.2,,,2015,Watercolor / Paper,Works on Paper,Watercolor,93,1/08/2016,2016,Saffron Art
Sudhansu B Sutar,Untitled,1571,1520,2275,Signed and Dated,1,60,90.5,,,1999,Oil / Canvas,Painting,Oil,94,1/08/2016,2016,Saffron Art
Jagannath Panda,Untitled,486,1520,2275,Signed and Dated,1,29,39.5,,,2005,Mixed Media / Paper,Mixed Media,Mixed Media,95,1/08/2016,2016,Saffron Art
G R Iranna,Untitled,546,1520,3035,Signed and Dated,1,28.7,28.7,,,1994,Oil / Canvas,Painting,Oil,96,1/08/2016,2016,Saffron Art
K P Reji,Untitled,1386,760,1065,Unavailable,0,25.1,36,,,N/A,Acrylic / Paper,Works on Paper,Acrylic,97,1/08/2016,2016,Saffron Art
Manish Pushkale,Untitled,2106,2655,3410,Inscribed,1,147,88.3,,,2002,Oil / Canvas,Painting,Oil,98,1/08/2016,2016,Saffron Art
Jitish Kallat,TERRA INCOGNITA,1167,1215,1520,Signed and Dated,1,19.2,24.7,,,1997,Mixed Media / Paper on board,Mixed Media,Mixed Media,99,1/08/2016,2016,Saffron Art
Viraj Naik,Untitled,978,1365,1820,Signed and Dated,1,101,76.2,,,2010,Acrylic / Canvas,Painting,Acrylic,100,1/08/2016,2016,Saffron Art
Ved Prakash Gupta,The Man with a Red Companion,2495,1820,2730,Signed and Dated,1,49.4,20.5,25.9,,2010,Fiberglass,Sculpture,Fiberglass,101,1/08/2016,2016,Saffron Art
Krishna Hawlaji Ara,Untitled,21820,4550,7580,Signed Lower Left,1,53.6,73.8,,,N/A,Gouache / Paper,Works on Paper,Gouache,1,9/08/2016,2016,Saffron Art
Krishna Hawlaji Ara,Untitled (Market Scene,8730,3035,4550,Signed Lower Right,1,53.7,74.1,,,N/A,Charcoal / Paper,Works on Paper,Charcoal,2,9/08/2016,2016,Saffron Art
Narayan Shridhar Bendre,a) Untitled and b) Unloading(2),23640,18190,22730,Signed Lower Right,1,,,,,N/A,Watercolor and gouache / Paper,Works on Paper,Watercolor,3,9/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,72730,37880,53040,Signed and Dated,1,51,34,,,1943,Watercolor pen and ink / Paper,Works on Paper,Watercolor,4,9/08/2016,2016,Saffron Art
Francis Newton Souza,Head,14550,12130,18190,Inscribed,1,23.1,18.3,,,1959,Oil / Canvas,Painting,Oil,5,9/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,14550,2275,3790,Signed and Dated,1,25.3,27,,,1966,Pen and ink / Board,Painting,Ink,6,9/08/2016,2016,Saffron Art
G M Solegaonkar,Untitled (Elephants in a Forest),8180,3035,6070,Signed Lower Right,1,102.6,115.8,,,N/A,Oil / Masonite,Painting,Oil,7,9/08/2016,2016,Saffron Art
Sadanand K Bakre,Untitled,23640,6070,9100,Signed and Dated,1,60,74.8,,,1963,Oil / Masonite,Painting,Oil,8,9/08/2016,2016,Saffron Art
Hari Ambados Gade,Untitled,14550,7580,10610,Signed Lower Right,1,36.8,43.5,,,N/A,Watercolor / Paper,Works on Paper,Watercolor,9,9/08/2016,2016,Saffron Art
Ram Kumar,Untitled,10910,9100,12130,Signed and Dated,1,46,59,,,1971,Watercolor / Paper,Works on Paper,Watercolor,10,9/08/2016,2016,Saffron Art
Jehangir Sabavala,Stag-Antlered Trees,327270,181820,227280,Signed and Dated,1,101.5,76.2,,,1967,Oil / Canvas,Painting,Oil,11,9/08/2016,2016,Saffron Art
Maqbool Fida Husain,Untitled,118180,60610,90910,Inscribed and Signed,1,76.7,51.2,,,1967,Acrylic / Canvas,Painting,Acrylic,12,9/08/2016,2016,Saffron Art
Akbar Padamsee,Greek Landscape,2907580,1060610,1363640,Signed and Dated,1,132,336,,,1960,Mixed Media Plastic emulsion / Canvas,Mixed Media,Mixed Media,13,9/08/2016,2016,Saffron Art
Nasreen Mohammedi,Untitled,363640,303040,454550,Unavailable,0,120.7,90.4,,,N/A,Oil / Canvas,Painting,Oil,14,9/08/2016,2016,Saffron Art
Nasreen Mohammedi,Untitled,63640,22730,30310,Signed on Reverse,1,51.5,37.5,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,15,9/08/2016,2016,Saffron Art
Vasudeo S Gaitonde,Untitled,109090,75760,106070,Signed and Dated,1,76,56,,,1962,Ink / Paper,Works on Paper,Ink,16,9/08/2016,2016,Saffron Art
Abdul Aziz Raiba,Dummy King,25460,10610,13640,Signed and Dated,1,92.4,50.5,,,1967,Oil / Canvas,Painting,Oil,17,9/08/2016,2016,Saffron Art
Ila Pal,Untitled,8180,4550,7580,Signed Lower Right,1,109.5,50.7,,,N/A,Oil / Canvas,Painting,Oil,18,9/08/2016,2016,Saffron Art
Gulammohammed Sheikh,Recurring Image,100000,98490,128790,Signed and Dated,1,90.6,82.5,,,1962,Oil / Canvas,Painting,Oil,19,9/08/2016,2016,Saffron Art
K G Subramanyan,Untitled,27270,15160,22730,Signed Lower Right,1,57.2,68.5,,,N/A,Acrylic / Canvas,Painting,Acrylic,20,9/08/2016,2016,Saffron Art
K G Subramanyan,a) Composition 5 and b) Composition 6(2),11820,9100,12130,Signed Initials,1,,,,,N/A,Gouache / Board,Painting,Gouache,21,9/08/2016,2016,Saffron Art
Francis Newton Souza,Christ on Palm Sunday,400000,378790,681820,Signed and Dated,1,129,55.2,,,1959,Oil / Board,Painting,Oil,22,9/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled (Landscape with Building),76360,45460,60610,Signed and Dated,1,31.8,39.8,,,1959,Oil / Canvas,Painting,Oil,23,9/08/2016,2016,Saffron Art
Francis Newton Souza,Still Life with Claret Jug,90910,90910,121220,Signed and Dated,1,60.9,76.3,,,1961,Oil / Board,Painting,Oil,24,9/08/2016,2016,Saffron Art
Maqbool Fida Husain,Untitled,54550,36370,42430,Signed,1,42.5,37.4,,,N/A,Oil / Canvas,Painting,Oil,25,9/08/2016,2016,Saffron Art
Maqbool Fida Husain,Untitled (Basket Weavers),81820,68190,98490,Signed,1,58,42.5,,,N/A,Oil / Canvas,Painting,Oil,26,9/08/2016,2016,Saffron Art
Maqbool Fida Husain,Untitled (Hawk on her Thigh),154550,151520,227280,Signed Lower Left,1,102,45.5,,,N/A,Oil / Canvas,Painting,Oil,27,9/08/2016,2016,Saffron Art
Bhupen Khakar,Untitled,15460,12130,15160,Signed,1,29.1,39.2,,,N/A,Watercolor / Paper,Works on Paper,Watercolor,28,9/08/2016,2016,Saffron Art
Ram Kumar,Untitled,27270,22730,30310,Signed and Dated,1,91,60.5,,,1997,Oil / Canvas,Painting,Oil,29,9/08/2016,2016,Saffron Art
Jogen Chowdhury,Man Crawling,-not sold-,53040,83340,Signed and Dated,1,90,121,,,1994,Oil / Canvas,Painting,Oil,30,9/08/2016,2016,Saffron Art
Syed Haider Raza,Untitled (Village),-not sold-,121220,181820,Signed and Dated,1,53.5,63,,,1956,Oil / Paper,Works on Paper,Oil,31,9/08/2016,2016,Saffron Art
Syed Haider Raza,L'arbre,29090,12130,15160,Signed and Dated,1,37,33.5,,,1964,Oil / Board,Painting,Oil,32,9/08/2016,2016,Saffron Art
Syed Haider Raza,La Terre,236360,227280,303040,Signed and Dated,1,100,100,,,1968,Oil / Canvas,Painting,Oil,33,9/08/2016,2016,Saffron Art
Syed Haider Raza,Untitled,25460,18190,22730,Signed and Dated,1,41.3,33.3,,,1977,Oil / Canvas,Painting,Oil,34,9/08/2016,2016,Saffron Art
Syed Haider Raza,La Terre / The Earth (Green),254550,227280,303040,Signed and Dated,1,100,1000,,,1981,Acrylic / Canvas,Painting,Acrylic,35,9/08/2016,2016,Saffron Art
Sadanand K Bakre,Untitled,36360,15160,22730,Signed and Dated,1,55,100.8,,,1965,Oil / Canvas,Painting,Oil,36,9/08/2016,2016,Saffron Art
Rameshwar Broota,Untitled,81820,83340,113640,Signed and Dated,1,88.9,88.9,,,2000,Oil / Canvas,Painting,Oil,37,9/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,13640,7580,10610,Signed and Dated,1,20.3,31.7,,,1959,Pen and ink / Paper,Works on Paper,Ink,38,9/08/2016,2016,Saffron Art
Francis Newton Souza,Untitled,154550,181820,272730,Signed and Dated,1,86.2,99.4,,,1964,Oil / Linen,Painting,Oil,39,9/08/2016,2016,Saffron Art
Krishen Khanna,Emmaus,172730,106070,136370,Inscribed and Signed,1,181.5,130.7,,,2006,Oil / Canvas,Painting,Oil,40,9/08/2016,2016,Saffron Art
Jamini Roy,Untitled (Mother and Child),10910,9100,12130,Signed Lower Right,1,28.4,13.8,,,N/A,Gouache / Paper on board,Works on Paper,Gouache,41,9/08/2016,2016,Saffron Art
Krishna Hawlaji Ara,Untitled (Seated Nude),25460,4550,7580,Signed Lower Left,1,74.2,53.7,,,N/A,Gouache / Paper,Works on Paper,Gouache,42,9/08/2016,2016,Saffron Art
Krishna Hawlaji Ara,Untitled,11820,9100,12130,Signed Lower Right,1,56.5,39.4,,,1950,Watercolor and ink / Paper,Works on Paper,Watercolor,43,9/08/2016,2016,Saffron Art
