Artist,Title,Price,Low Estimate,High Estimate,Signature,Signed?,Height,Width,Depth,Edition,Year Created,Medium,Auction Lot,Auction Date,Auction Year,Auction House,
G R Iranna,UNTITLED,1440,2420,3230,Unavailable,0,76.2,60.96,,,N/A,Oil / Canvas,79,3/30/2015,2015,Saffron Art,
Manish Pushkale,VANSU-PUJYA,1860,3230,4840,Signed on Reverse,1,179.07,88.9,,,N/A,Acrylic / Canvas,80,3/30/2015,2015,Saffron Art,
Farhad Hussain,"UNTITLED, 2006",7860,8070,11300,Signed and Dated,1,152.4,182.88,,,2006,Acrylic / Canvas,81,3/30/2015,2015,Saffron Art,
Dhananjay Singh,"UNTITLED, 2009",645,485,650,Signed and Dated,1,40.64,30.48,,,2009,Pen and ink / Paper,82,3/30/2015,2015,Saffron Art,
Minal Damani,UNTITLED,1440,650,970,Unavailable,0,53.34,73.66,,,N/A,Mixed Media / Paper,83,3/30/2015,2015,Saffron Art,
Dilip Chobisa,"NOSTALGIA III, 2014",2185,4840,6460,Signed and Dated,1,142.24,142.24,,,2014,Graphite / Paper,85,3/30/2015,2015,Saffron Art,
Maqbool Fida Husain,"UNTITLED, 1991",7860,4840,8070,Signed and Dated,1,45.72,38.1,,,1991,Watercolor and sketchpen / Paper,86,3/30/2015,2015,Saffron Art,
Ram Kumar,"UNTITLED, 2013",11800,9680,12910,Signed and Dated,1,31.75,48.26,,,2013,Acrylic / Paper,87,3/30/2015,2015,Saffron Art,
Ambadas,"UNTITLED, 1993",2160,2905,3550,Signed and Dated,1,71.12,101.6,,,1993,Oil / Canvas,89,3/30/2015,2015,Saffron Art,
Paritosh Sen,"UNTITLED, 2005",2005,810,970,Signed and Dated,1,55.88,39.37,,,2005,Pastel / Paper,90,3/30/2015,2015,Saffron Art,
Arup Das,"UNTITLED, 2002",1440,1615,2420,Signed and Dated,1,76.2,48.26,,,2002,Mixed Media / Paper on board,91,3/30/2015,2015,Saffron Art,
Rajendra Dhawan,"UNTITLED, 1989",10800,3230,4035,Signed and Dated,1,68.58,96.52,,,1989,Oil / Linen,92,3/30/2015,2015,Saffron Art,
Lalu Prasad Shaw,"UNTITLED, 2015",1943,1130,1455,Signed and Dated,1,34.29,21.59,,,2015,Acrylic / Paperboard,93,3/30/2015,2015,Saffron Art,
Manu Parekh,"UNTITLED, 1995",1500,3230,4840,Signed and Dated,1,88.9,88.9,,,1995,Acrylic / Canvas,94,3/30/2015,2015,Saffron Art,
M Sivanesan,"UNTITLED, 2006",3056,485,650,Signed and Dated,1,26.67,19.05,,,2006,Mixed Media / Paper,95,3/30/2015,2015,Saffron Art,
Madhvi Parekh,"CHRIST, 2011",2487,3230,4840,Signed and Dated,1,90.17,60.96,,,2011,Acrylic / Canvas,96,3/30/2015,2015,Saffron Art,
Shamshad Husain,UNTITLED,3341,1615,3230,Signed Lower Left,1,60.96,90.17,,,N/A,Oil / Canvas,97,3/30/2015,2015,Saffron Art,
Nilima Sheikh,FIRE,3001,1615,3230,Signed on Reverse,1,17.78,22.86,,,N/A,Tempera / Paper on board,98,3/30/2015,2015,Saffron Art,
Chittrovanu Mazumdar,UNTITLED,2772,2420,3230,Signed and Dated,1,53.34,68.58,,,N/A,Mixed Media / Paper,99,3/30/2015,2015,Saffron Art,
Babu Xavier,"POSTER GIRL (NUDE WOMAN), 2005",1657,3230,4840,Signed and Dated,1,99.06,198.12,,,2005,Oil / Canvas,101,3/30/2015,2015,Saffron Art,
Sanjay Kumar Singh,UNTITLED,420,485,650,Signed on Reverse,1,182.88,68.58,,,N/A,Acrylic / Canvas,102,3/30/2015,2015,Saffron Art,
Paresh Maity,"UNTITLED, 2014 (2)",4570,4840,6460,Signed and Dated,1,,,,,2014,Watercolor / Paper,103,3/30/2015,2015,Saffron Art,
Deepak Tandon,"UNTITLED, 2006",420,485,650,Signed and Dated,1,52.07,73.66,,,2006,Acrylic / Paper,104,3/30/2015,2015,Saffron Art,
Sunil Padwal,"UNTITLED, 2005",2520,970,1295,Signed and Dated,1,45.72,45.72,,,2005,Oil / Wood,105,3/30/2015,2015,Saffron Art,
Alok Bal,"SPIRITUAL SMOKE, 2006",360,245,325,Signed and Dated,1,33.02,41.91,,,2006,Watercolor / Paper,106,3/30/2015,2015,Saffron Art,
N S Harsha,STUDY FOR COSMIC ORPHANS (3),1947,3230,4840,Signed,1,,,,,b) 2,Watercolor / Paper,107,3/30/2015,2015,Saffron Art,
Debraj Goswami,"UNTITLED, 2006",1680,3230,4840,Signed and Dated,1,121.92,137.16,,,2006,Oil / Canvas,108,3/30/2015,2015,Saffron Art,
Farhad Hussain,UNTITLED,6120,3630,5250,Signed on Reverse,1,72.39,149.86,,,N/A,Acrylic / Canvas,109,3/30/2015,2015,Saffron Art,
Aniket Khupse,UNTITLED,470,405,565,Signed Lower Right,1,40.64,30.48,,,N/A,Mixed Media / Canvas,110,3/30/2015,2015,Saffron Art,
Minal Damani,"RIVER, 2006",727,1130,1455,Unavailable,0,90.17,119.38,,,2006,Acrylic / Canvas,111,3/30/2015,2015,Saffron Art,
Prajakta Palav Aher,"OBJECT DRAWING (A RING), 2006",60,165,245,Signed and Dated,1,25.4,35.56,,,2006,Mixed Media / Paper,112,3/30/2015,2015,Saffron Art,
Phaneendra Nath Chaturvedi,"UNTITLED, 2008",774,650,810,Signed and Dated,1,100.33,64.77,,,2008,Mixed Media / Paper,113,3/30/2015,2015,Saffron Art,
Nandalal Bose,Untitled,5210,4920,6560,Signed Lower Left,1,7.6,12.7,,,1956,Crayon / Paper,1,3/18/2015,2015,Saffron Art,
Ram Kumar,Untitled,7740,6560,9840,Signed Lower Right,1,33,20.3,,,1977,Pencil / Paper,2,3/18/2015,2015,Saffron Art,
Hashmi Zarina,Rani's Garden,-not sold-,3280,4920,Signed and Dated,1,72.5,55,,,1966,Oil / Canvas,3,3/18/2015,2015,Saffron Art,
Ramkinkar Baij,Untitled,-not sold-,6560,9840,Signed Lower Right,1,25.4,36.8,,,N/A,Watercolor / Paper,4,3/18/2015,2015,Saffron Art,
Ganesh Pyne,Still Life with Flower Vase,4500,4000,6000,Signed Lower Left,1,16.5,12.7,,,1991,Watercolor and pencil / Paper,5,3/18/2015,2015,Saffron Art,
Jamini Roy,Untitled,12000,10000,15000,Signed Lower Right,1,30.5,43.2,,,N/A,Gouache / Paper,6,3/18/2015,2015,Saffron Art,
Syed Haider Raza,Untitled,8400,6560,9840,Signed Lower Right,1,30.5,21.6,,,1970,Acrylic / Paper,7,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,5520,3000,4000,Signed and Dated,1,25.4,20.3,,,1957,Ink / Paper,8,3/18/2015,2015,Saffron Art,
Hari Ambados Gade,Untitled,4296,3280,4920,Signed Lower Right,1,45.7,29.2,,,1948,Oil / Canvas,9,3/18/2015,2015,Saffron Art,
Jagdish Swaminathan,Untitled,6730,4100,5740,Unavailable,0,33,21.6,,,N/A,"Mixed Media brush, ink / Paper",10,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled (Lao Tzu),5880,3000,4000,Signed and Dated,1,33,20.3,,,1962,Ink / Paper,11,3/18/2015,2015,Saffron Art,
Nandalal Bose,Untitled,5210,4920,7380,Signed,1,7.6,11.4,,,N/A,Pen and ink / Paper,12,3/18/2015,2015,Saffron Art,
Narayan Shridhar Bendre,Untitled,-not sold-,6560,9840,Signed and Dated,1,24.1,27.9,,,1958,"Mixed Media watercolor, pastel / Paper",13,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,3612,3000,4000,Signed and Dated,1,27.9,21.6,,,1968,Ink / Paper,14,3/18/2015,2015,Saffron Art,
Arpita Singh,Women with Ducks,8400,7000,9000,Signed Lower Left,1,35.6,47,,,1985,Watercolor / Paper,15,3/18/2015,2015,Saffron Art,
Ram Kumar,Untitled,6850,6560,9840,Signed Lower Left,1,55.9,73.7,,,1967,Ink / Paper,16,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,2640,2500,3500,Signed and Dated,1,19,15.2,,,N/A,Pen and ink / Paper,17,3/18/2015,2015,Saffron Art,
K G Subramanyan,Untitled (2),2832,1480,1970,Signed Monogram,1,40.6,30.5,,,2014,Watercolor / Paper,18,3/18/2015,2015,Saffron Art,
Bhupen Khakar,Untitled,5800,3280,4920,Signed and Dated,1,22.9,25.4,,,1994,Watercolor and pencil / Paper,19,3/18/2015,2015,Saffron Art,
George Keyt,Untitled,-not sold-,6000,8000,Signed and Dated,1,47,35.6,,,1960,Mixed Media / Paper,20,3/18/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled (Geneve),3360,3200,4200,Signed Lower Right,1,15.2,11.4,,,1969,Pen and ink / Paper,21,3/18/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled,4200,4000,6000,Signed,1,73.7,55.9,,,1982,Mixed Media / Paper,22,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Head,8400,8000,10000,Signed and Dated,1,26.7,34.3,,,2002,"Mixed Media pen,ink, watercolor, pastel / Paper",23,3/18/2015,2015,Saffron Art,
Bikash Bhattacharjee,Untitled,5810,4920,7380,Signed Lower Left,1,26.7,24.1,,,1989,Conte Crayon / Paper,24,3/18/2015,2015,Saffron Art,
K G Subramanyan,Untitled,-not sold-,4100,5740,Signed Lower Left,1,45.7,38.1,,,2008,Gouache / Paper,25,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled,-not sold-,6560,9840,Signed and Dated,1,54.6,83.8,,,2005,Pastel / Paper,27,3/18/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled,-not sold-,19680,24600,Unavailable,0,49.5,33,,,N/A,Watercolor and pencil / Paper,28,3/18/2015,2015,Saffron Art,
Bhupen Khakar,Untitled,3168,1150,1480,Signed Lower Right,1,21.6,25.4,,,1988,Pencil / Paper,29,3/18/2015,2015,Saffron Art,
Ganesh Pyne,Untitled,-not sold-,6560,9840,Signed Lower Right,1,36.8,30.5,,,2008,Charcoal / Paper,30,3/18/2015,2015,Saffron Art,
Somnath Hore,Untitled,2544,2460,3280,Signed and Dated,1,25.4,36.8,,,1981,"Mixed Media watercolor, pastel / Paper",31,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,-not sold-,2460,3280,Signed and Dated,1,43.2,27.9,,,1996,Ink / Paper,32,3/18/2015,2015,Saffron Art,
Jamini Roy,Untitled,16800,15000,20000,Signed Lower Right,1,68.6,35.6,,,N/A,Gouache / Paper,33,3/18/2015,2015,Saffron Art,
Ram Kumar,Untitled,11920,9840,13120,Unavailable,0,29.2,44.4,,,N/A,Watercolor / Paper,34,3/18/2015,2015,Saffron Art,
Gulam Rasool Santosh,Untitled,-not sold-,8200,11480,Signed on Reverse,1,47,29.2,,,1988,Acrylic / Paper,35,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,4800,4000,6000,Signed and Dated,1,25.4,31.8,,,N/A,"Mixed Media gouache, marker / Paper",36,3/18/2015,2015,Saffron Art,
Sakti Burman,Untitled,3696,3280,4920,Signed Lower Right,1,47,63.5,,,N/A,Watercolor / Paper,37,3/18/2015,2015,Saffron Art,
Krishen Khanna,Untitled,-not sold-,1315,1640,Signed Lower Right,1,29.2,21.6,,,N/A,Pencil / Paper,38,3/18/2015,2015,Saffron Art,
Thotha Vaikuntam,Untitled (2),11920,9840,13120,Signed and Dated,1,63.5,25.4,,,N/A,"Mixed Media acrylic, watercolor / Paper",39,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Face of Lady. Boy In Agony,-not sold-,4000,6000,Signed and Dated,1,,,,,2001,"Mixed Media pastel, charcoal / Paper",42,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled (2),6480,2500,3500,Signed and Dated,1,,,,,N/A,Mixed Media ink / Paper,43,3/18/2015,2015,Saffron Art,
Badri Narayan,Fowl Seller,3720,2000,4000,Signed Lower Left,1,35.6,26.7,,,N/A,"Mixed Media Watercolour, pen and ink / Paper",44,3/18/2015,2015,Saffron Art,
Lalu Prasad Shaw,Untitled,-not sold-,8200,11480,Signed Lower Left,1,54.6,45.7,,,2013,Tempera / Paper,45,3/18/2015,2015,Saffron Art,
Manjit Bawa,Untitled,8480,8200,9840,Signed Lower Right,1,53.3,36.8,,,1999,Ink / Paper,46,3/18/2015,2015,Saffron Art,
K Laxma Goud,Untitled,5100,4100,5740,Signed,1,34.3,26.7,,,N/A,Gouache / Paper,47,3/18/2015,2015,Saffron Art,
Arpita Singh,Untitled,3900,3000,5000,Signed Lower Right,1,22.9,29.2,,,2001,Watercolor and ink / Paper,48,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Hand,8400,8000,10000,Signed,1,26.7,34.3,,,N/A,"Mixed Media Pen, ink, watercolour, pastel / Paper",49,3/18/2015,2015,Saffron Art,
Sudhir Patwardhan,Untitled,-not sold-,2955,3610,Signed Lower Right,1,55.9,38.1,,,1990,Charcoal / Paper,50,3/18/2015,2015,Saffron Art,
Amit Ambalal,Fragrance of Plastic Flowers,601,660,985,Signed Lower Right,1,36.8,52.1,,,N/A,Watercolor / Paper,51,3/18/2015,2015,Saffron Art,
Ram Kumar,Untitled,13560,11480,14760,Signed on Reverse,1,58.4,90.2,,,1969,Acrylic / Paper,52,3/18/2015,2015,Saffron Art,
Badri Narayan,Untitled,8050,6560,9840,Signed Lower Right,1,54.6,50.8,,,N/A,Watercolor and ink / Paper,53,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,4939,1640,3280,Signed and Dated,1,36.8,26.7,,,1961,Pencil / Paper,54,3/18/2015,2015,Saffron Art,
Bhupen Khakar,Untitled,1956,1150,1480,Signed Lower Right,1,20.3,25.4,,,1993,Pencil / Paper,55,3/18/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled,13390,16400,24600,Signed Lower Left,1,39.4,29.2,,,N/A,Watercolor and pencil / Paper,56,3/18/2015,2015,Saffron Art,
Akbar Padamsee,Untitled,-not sold-,3280,4100,Signed and Dated,1,48.3,30.5,,,1995,"Mixed Media watercolor, charcoal / Paper",57,3/18/2015,2015,Saffron Art,
Gulam Rasool Santosh,Untitled,-not sold-,7500,9500,Signed Lower Left,1,58.4,43.2,,,1987,Watercolor / Paper,58,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,3612,3000,4000,Signed and Dated,1,27.9,20.3,,,1999,Mixed Media ink / Paper,59,3/18/2015,2015,Saffron Art,
Shyamal Dutta Ray,Untitled,7450,6560,9840,Signed Lower Left,1,53.3,58.4,,,1999,Watercolor / Paper,60,3/18/2015,2015,Saffron Art,
Avinash Chandra,Untitled (2),1200,500,700,Signed and Dated,1,,,,,1962,Watercolor / Paper,61,3/18/2015,2015,Saffron Art,
Bikash Bhattacharjee,Untitled,8480,8200,11480,Signed Lower Right,1,41.9,27.9,,,N/A,Pencil / Paper,62,3/18/2015,2015,Saffron Art,
Kattingeri Krishna Hebbar,Untitled,-not sold-,3280,4920,Signed Lower Right,1,53.3,36.8,,,1989,Ink / Paper,63,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled,5810,4920,6560,Unavailable,0,20.3,17.8,,,N/A,"Mixed Media Pastel, ink and gouache / Paper",64,3/18/2015,2015,Saffron Art,
Prabhakar Barwe,Untitled,5210,4920,6560,Signed Lower Right,1,31.8,36.8,,,N/A,"Mixed Media gouache, pen, ink / Paper",65,3/18/2015,2015,Saffron Art,
Jamini Roy,Untitled,5810,4920,6560,Signed Lower Right,1,30.5,21.6,,,N/A,Gouache / Cardboard,66,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,-not sold-,2460,3280,Signed and Dated,1,25.4,20.3,,,N/A,Pencil / Paper,67,3/18/2015,2015,Saffron Art,
Thotha Vaikuntam,Untitled,12820,9840,13120,Signed Lower Left,1,63.5,43.2,,,1992,Acrylic / Paper,68,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled (4),5810,4920,8200,Signed and Dated,1,18.7,12.5,,,2014,Pencil / Paper,69,3/18/2015,2015,Saffron Art,
Ram Kumar,Untitled (3),3984,2460,3280,Signed,1,20.3,29.2,,,N/A,Pen and ink / Paper,70,3/18/2015,2015,Saffron Art,
Jagdish Swaminathan,Untitled,-not sold-,5740,7380,Signed Lower Right,1,30.5,54.6,,,1984,Watercolor / Paper,71,3/18/2015,2015,Saffron Art,
Badri Narayan,Untitled,8050,6560,9840,Signed on Reverse,1,53.3,73.7,,,1993,Watercolor and ink / Paper,72,3/18/2015,2015,Saffron Art,
Badri Narayan,Homage to Birth,4200,4000,6000,Unavailable,0,50.8,66,,,N/A,Watercolor / Paper,73,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,-not sold-,2460,3280,Signed Lower Left,1,35.6,25.4,,,1964,Pencil / Paper,74,3/18/2015,2015,Saffron Art,
Paramjit Singh,Untitled,-not sold-,1640,3280,Signed and Dated,1,29.2,40.6,,,2004,"Mixed Media charcoal, crayon / Paper",76,3/18/2015,2015,Saffron Art,
Lalu Prasad Shaw,Untitled,-not sold-,4100,5740,Signed Lower Right,1,33,24.1,,,2011,Gouache / Board,77,3/18/2015,2015,Saffron Art,
Sakti Burman,Untitled,5210,4920,7380,Signed,1,48.3,62.2,,,N/A,Acrylic / Paper,78,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled,4800,4000,6000,Signed Lower Right,1,55.9,71.1,,,2001,Pastel / Paper,79,3/18/2015,2015,Saffron Art,
Krishen Khanna,Untitled,-not sold-,1315,1640,Signed Lower Right,1,29.2,19,,,N/A,Watercolor and pencil / Paper,80,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,2544,2460,3280,Signed and Dated,1,20.3,33,,,1964,Pen and ink / Paper,82,3/18/2015,2015,Saffron Art,
Sakti Burman,Untitled,3600,3500,5500,Signed Lower Left,1,48.3,61,,,N/A,Watercolor / Paper,83,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,2340,2000,3000,Signed and Dated,1,26.7,20.3,,,1987,Mixed Media / Paper,85,3/18/2015,2015,Saffron Art,
Prabhakar Barwe,Santafae,1355,1150,1480,Signed Lower Left,1,27.9,20.3,,,1988,"Mixed Media Watercolour, ink and pastels / Paper",86,3/18/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled,-not sold-,2460,3280,Signed and Dated,1,34.3,24.1,,,2006,Pastel / Paper,87,3/18/2015,2015,Saffron Art,
Thotha Vaikuntam,Untitled,-not sold-,9000,12000,Unavailable,0,63.5,38.1,,,N/A,Acrylic / Paper,88,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,7310,3280,4920,Signed and Dated,1,53.3,41.9,,,1963,Ink / Paper,89,3/18/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,18690,4920,6560,Signed and Dated,1,25.4,19,,,1955,Pencil / Paper,1,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Head of a Saint,88530,49190,65580,Inscribed,1,58.4,38.1,,,1959,Oil / Board,2,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Old Houses,62950,49190,65580,Signed and Dated,1,45.7,61,,,1975,Oil / Canvas,3,2/12/2015,2015,Saffron Art,
Bhupen Khakar,Untitled,43280,11480,14760,Signed Lower Right,1,43.2,58.4,,,N/A,Acrylic / Paper,4,2/12/2015,2015,Saffron Art,
K G Subramanyan,A) Composition 3 b) Composition 4 (2),9600,8200,9840,Signed Initials,1,,,,,N/A,Gouache / Board,5,2/12/2015,2015,Saffron Art,
Sakti Burman,Untitled,4918,3280,6560,Signed Lower Right,1,48.3,63.5,,,N/A,Watercolor / Paper,6,2/12/2015,2015,Saffron Art,
Sakti Burman,Untitled,59020,24600,32790,Signed and Dated,1,72.4,91.4,,,1958,Acrylic / Canvas,7,2/12/2015,2015,Saffron Art,
Syed Haider Raza,Untitled (Yellow Landscape),68850,32790,40990,Signed and Dated,1,61,83.8,,,1956,Oil and gouache / Paper,8,2/12/2015,2015,Saffron Art,
Syed Haider Raza,Prakriti,127870,114760,147550,Signed and Dated,1,198.1,38.1,,,2008,Acrylic / Canvas,9,2/12/2015,2015,Saffron Art,
Meera Mukherjee,Untitled,15740,9840,13120,Unavailable,0,11.4,10.1,7.5,,N/A,Bronze,10,2/12/2015,2015,Saffron Art,
Somnath Hore,Untitled (5),11800,9840,13120,,0,,,,,N/A,,11,2/12/2015,2015,Saffron Art,
Attingal Ramachandran,Untitled,11800,3280,4920,Signed and Dated,1,44.4,44.4,,,2006,Oil / Canvas,12,2/12/2015,2015,Saffron Art,
Gulammohammed Sheikh,Untitled,137710,16400,24600,Unavailable,0,73.7,99.1,,,N/A,Oil / Canvas,13,2/12/2015,2015,Saffron Art,
Jehangir Sabavala,Cape and Promontory,334430,196730,295090,Signed and Dated,1,133.4,99.1,,,1977,Oil / Canvas,14,2/12/2015,2015,Saffron Art,
Jagdish Swaminathan,Untitled,131800,122960,155740,Signed and Dated,1,80,110.5,,,1975,Oil / Canvas,15,2/12/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled (Two Figures with Cactus),177050,131150,163940,Signed,1,106.7,101.6,,,1966,Oil / Canvas,16,2/12/2015,2015,Saffron Art,
Narayan Shridhar Bendre,Untitled (2),23610,8200,11480,Signed and Dated,1,,,,,1988,Oil / Paper,17,2/12/2015,2015,Saffron Art,
Nasreen Mohammedi,Untitled,15740,9840,13120,Unavailable,0,27.9,35.6,,,N/A,Pencil / Card,18,2/12/2015,2015,Saffron Art,
Syed Haider Raza,Tree,-not sold-,81970,114760,Signed and Dated,1,80,80,,,2004,Acrylic / Canvas,19,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,74750,81970,114760,Signed and Dated,1,81.3,137.2,,,1975,Oil / Canvas,20,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,39340,24600,32790,Signed and Dated,1,76.2,61,,,2007,Oil / Canvas,21,2/12/2015,2015,Saffron Art,
K Laxma Goud,Untitled,39340,24600,29510,Signed and Dated,1,152.4,132.1,,,2014,Acrylic / Canvas,22,2/12/2015,2015,Saffron Art,
Gaganendranath Tagore,Megher Khela,27540,16400,19680,Signed Lower Right,1,16.5,25.4,,,N/A,Watercolor / Paper,23,2/12/2015,2015,Saffron Art,
Gaganendranath Tagore,Untitled,23610,13120,16400,Unavailable,0,19,16.5,,,N/A,Watercolor / Card,24,2/12/2015,2015,Saffron Art,
Gaganendranath Tagore,Untitled,8260,6560,8200,Signed Initials,1,16.5,24.1,,,N/A,Pencil / Paper,25,2/12/2015,2015,Saffron Art,
Jamini Roy,Untitled,18690,16400,24600,Signed Lower Right,1,38.1,72.4,,,N/A,Tempera / Board,26,2/12/2015,2015,Saffron Art,
Jamini Roy,Untitled (Christ),51150,24600,32790,Signed Lower Right,1,88.9,38.1,,,N/A,Tempera / Cloth,27,2/12/2015,2015,Saffron Art,
Jamini Roy,Untitled,-not sold-,81970,98370,Signed Lower Right,1,55.9,191.8,,,N/A,Tempera / Canvas,28,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,102300,65580,98370,Signed Lower Right,1,58.4,130.8,,,1963,Oil / Canvas,29,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Crucifixion,59020,49190,65580,Signed and Dated,1,82.6,64.8,,,1975,Oil / Canvas,30,2/12/2015,2015,Saffron Art,
Akbar Padamsee,Classic Metascape,255740,245910,327870,Signed and Dated,1,87.6,125.7,,,1961,Oil / Canvas,31,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,18690,13120,16400,Signed and Dated,1,26.7,21.6,,,1979,Dry pastel / Paper,32,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,21640,11480,14760,Signed and Dated,1,58.4,45.7,,,1991,Acrylic / Paper,33,2/12/2015,2015,Saffron Art,
Jehangir Sabavala,Treescape,108200,98370,131150,Signed and Dated,1,54.6,74.9,,,1960,Oil / Masonite,34,2/12/2015,2015,Saffron Art,
Syed Haider Raza,Oasis,304920,245910,327870,Signed and Dated,1,99.1,99.1,,,1975,Acrylic / Canvas,35,2/12/2015,2015,Saffron Art,
Ganesh Pyne,Untitled,74750,40990,57380,Signed and Dated,1,54.6,53.3,,,2004,Tempera / Canvas,36,2/12/2015,2015,Saffron Art,
Ram Kumar,Varanasi,68850,65580,98370,Signed and Dated,1,91.4,120.6,,,2010,Oil / Canvas,37,2/12/2015,2015,Saffron Art,
Sakti Burman,Untitled (2),13770,11480,14760,Signed Lower Right,1,,,,,N/A,Mixed Media / Canvas,38,2/12/2015,2015,Saffron Art,
Sakti Burman,Untitled,47210,24600,29510,Signed Lower Right,1,59.7,48.3,,,. 19,Mixed Media / Canvas,39,2/12/2015,2015,Saffron Art,
Thotha Vaikuntam,Untitled (2),12790,11480,14760,Signed and Dated,1,,,,,1994,Acrylic / Paper,40,2/12/2015,2015,Saffron Art,
George Keyt,Untitled,23610,19680,24600,Signed and Dated,1,64.8,67.3,,,1972,Acrylic / Canvas,41,2/12/2015,2015,Saffron Art,
Maqbool Fida Husain,Untiled (Nude),131800,114760,147550,Signed Lower Right,1,120.6,58.4,,,N/A,Oil / Canvas,42,2/12/2015,2015,Saffron Art,
Maqbool Fida Husain,"Euphrosyne, Thalia, Aglaia",393440,491810,655740,Signed and Dated,1,203.2,312.4,,,1990,Acrylic / Canvas,43,2/12/2015,2015,Saffron Art,
Akbar Padamsee,Untitled,127870,90170,122960,Signed and Dated,1,137.2,90.2,,,2004,Oil / Canvas,44,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,11800,4920,8200,Signed and Dated,1,49.5,74.9,,,2005,Acrylic / Paper,45,2/12/2015,2015,Saffron Art,
Ganesh Pyne,Vulture,68850,32790,49190,Signed and Dated,1,55.9,40.6,,,1962,Tempera / Canvas,46,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,68850,57380,73780,Signed and Dated,1,59.7,123.2,,,1991,Acrylic / Canvas,47,2/12/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled,157380,98370,131150,Signed Lower Right,1,97.8,99.1,,,1969,Oil / Canvas,48,2/12/2015,2015,Saffron Art,
Maqbool Fida Husain,Untitled,-not sold-,196730,245910,Signed Lower Left,1,127,64.8,,,N/A,Oil / Canvas,49,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Redmonite Robot,39340,32790,49190,Signed and Dated,1,76.2,61,,,1984,Oil and acrylic / Board,50,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Untitled,118030,57380,73780,Signed and Dated,1,74.9,59.7,,,1961,Oil / Board,51,2/12/2015,2015,Saffron Art,
Akbar Padamsee,Untitled,8260,6560,9840,Signed and Dated,1,55.9,36.8,,,2005,Watercolor / Paper on board,52,2/12/2015,2015,Saffron Art,
Akbar Padamsee,Untitled,-not sold-,245910,295090,Signed and Dated,1,90.2,90.2,,,1965,Oil / Canvas,53,2/12/2015,2015,Saffron Art,
Francis Newton Souza,Untitled (6),16720,4920,8200,Signed and Dated,1,,,,,N/A,Ink / Paper,54,2/12/2015,2015,Saffron Art,
Arpita Singh,A) Walking Through A Rose Garden b) The Blue Lotus Cushion (2),21640,13120,16400,Signed and Dated,1,,,,,2000,Watercolor / Paper,55,2/12/2015,2015,Saffron Art,
Ram Kumar,Untitled,-not sold-,29510,36070,Signed and Dated,1,91.4,61,,,2004,Acrylic / Canvas,56,2/12/2015,2015,Saffron Art,
Syed Haider Raza,Panch Tatvas,177050,131150,196730,Signed and Dated,1,80,80,,,1989,Acrylic / Canvas,57,2/12/2015,2015,Saffron Art,
B Prabha,Untitled,23610,19680,24600,Signed Lower Right,1,76.2,101.6,,,N/A,Oil / Canvas,58,2/12/2015,2015,Saffron Art,
Jogen Chowdhury,Untitled -II,33440,32790,49190,Inscribed,1,180.3,180.3,,,2007,Mixed Media / Canvas,59,2/12/2015,2015,Saffron Art,
